City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
126,hay river,90,CA,1565244272,87,60.82,-115.79,53.6,2.24
127,seoul,20,KR,1565244381,70,37.57,126.98,91.4,2.24
128,longyearbyen,75,NO,1565244585,65,78.22,15.63,46.4,6.93
129,harper,1,US,1565244195,69,30.3,-99.24,82.4,5.82
130,namibe,1,AO,1565244017,78,-15.19,12.15,64.18,5.66
131,salalah,90,OM,1565244586,94,17.01,54.1,78.8,6.93
132,dortyol,0,TR,1565244494,61,36.86,36.23,82.0,12.75
133,mandiana,25,GN,1565244586,98,10.62,-8.7,68.68,4.85
134,hebi,82,CN,1565244587,46,35.75,114.29,91.0,7.92
135,sechura,37,PE,1565244587,85,-5.56,-80.82,62.56,13.71
136,olinda,40,AU,1565244588,53,-37.84,145.39,55.0,17.22
137,whitehorse,75,CA,1565244588,58,60.72,-135.06,59.0,9.17
138,boden,0,SE,1565244588,87,65.83,21.69,55.4,5.82
139,hirara,75,JP,1565244588,88,24.8,125.28,84.2,34.45
140,clyde river,90,CA,1565244589,100,70.47,-68.59,41.0,2.24
141,nara,40,JP,1565244589,66,34.68,135.8,99.0,17.22
142,santa maria,0,BR,1565244571,82,-16.02,-48.01,55.4,1.12
143,khash,0,IR,1565244589,13,28.22,61.21,85.78,10.69
144,naze,100,NG,1565244590,92,5.43,7.07,73.54,4.07
145,brae,40,GB,1565244590,87,60.4,-1.35,55.4,14.99
146,karratha,0,AU,1565243995,14,-20.74,116.85,80.38,8.05
147,tuktoyaktuk,90,CA,1565244590,86,69.44,-133.03,39.2,13.87
148,miracema do tocantins,2,BR,1565244591,53,-9.56,-48.4,71.2,5.5
149,yaransk,2,RU,1565244591,65,57.3,47.88,59.14,5.86
150,ateli,82,IN,1565244591,45,28.1,76.28,95.32,11.14
151,breytovo,13,RU,1565244592,74,58.3,37.86,60.76,6.85
152,beyneu,33,KZ,1565244592,28,45.32,55.19,82.36,7.87
153,ozernovskiy,100,RU,1565244592,92,51.5,156.52,49.6,3.6
154,phuket,40,TH,1565244593,66,7.89,98.4,87.8,14.99
155,rorvik,90,NO,1565244145,100,64.86,11.24,55.4,1.12
156,kanniyakumari,100,IN,1565244593,84,8.08,77.57,78.94,25.12
157,finnsnes,40,NO,1565244594,58,69.23,17.98,53.6,19.46
158,alihe,100,CN,1565244594,72,50.57,123.73,67.42,1.74
159,yellowknife,40,CA,1565244417,71,62.45,-114.38,51.8,8.05
160,dawlatabad,0,AF,1565244595,10,36.41,64.91,96.04,16.04
161,luganville,75,VU,1565244595,83,-15.51,167.18,80.6,4.7
162,bethel,90,US,1565244595,87,60.79,-161.76,62.6,6.93
163,cururupu,43,BR,1565244595,98,-1.82,-44.87,71.2,1.36
164,ribeira grande,20,PT,1565244596,77,38.52,-28.7,68.0,10.29
165,kalemie,5,CD,1565244596,39,-5.95,29.2,73.72,10.27
166,vostok,100,RU,1565244596,89,46.45,135.83,73.18,2.95
167,galesong,20,ID,1565244597,43,-5.32,119.37,91.4,12.75
168,vardo,1,US,1565244597,83,39.62,-77.74,70.0,3.36
169,trebinje,0,HR,1565244597,44,42.71,18.35,77.0,5.82
170,vestmanna,50,FO,1565244597,76,62.16,-7.17,48.2,9.17
171,maicao,80,CO,1565244598,88,11.38,-72.24,76.06,4.45
172,cukai,75,MY,1565244598,74,4.25,103.42,91.4,9.17
173,fenoarivo,0,MG,1565244598,41,-18.93,47.44,57.2,9.17
174,provideniya,75,RU,1565244599,87,64.42,-173.23,51.8,13.42
175,college,20,US,1565244599,82,64.86,-147.8,64.4,3.36
176,galle,100,GN,1565244599,98,10.08,-12.83,69.22,2.55
177,gori,38,GE,1565244600,37,41.99,44.11,74.8,12.95
178,atambua,0,ID,1565244600,78,-9.11,124.89,77.32,15.82
179,pirenopolis,0,BR,1565244600,67,-15.85,-48.96,59.0,4.7
180,chuy,38,UY,1565244601,81,-33.69,-53.46,53.74,9.31
181,east london,0,ZA,1565244601,62,-33.02,27.91,53.6,9.17
182,urusha,0,RU,1565244603,27,54.05,122.9,83.98,3.09
183,qaanaaq,100,GL,1565244603,84,77.48,-69.36,43.12,6.55
184,cabo san lucas,40,MX,1565244423,65,22.89,-109.91,82.4,7.72
185,tacoronte,20,ES,1565244604,93,28.48,-16.41,71.6,5.82
186,tura,90,RU,1565244604,40,64.27,100.22,79.12,10.36
187,constitucion,18,MX,1565244604,72,23.99,-104.67,68.0,10.0
188,sitka,72,US,1565244605,69,37.17,-99.65,80.01,8.01
189,chavinda,95,MX,1565244605,95,20.01,-102.46,60.76,3.29
190,half moon bay,1,US,1565244606,72,37.46,-122.43,62.6,8.97
191,carmo,12,BR,1565244606,97,-21.93,-42.61,58.42,1.68
192,road town,20,VG,1565244342,83,18.42,-64.62,81.0,3.36
193,obo,33,CF,1565244606,92,5.39,26.49,70.66,3.31
194,palmerston,20,AU,1565244607,51,-12.49,130.99,88.0,9.17
195,sistranda,75,NO,1565244162,93,63.73,8.83,57.99,10.29
196,maple creek,0,CA,1565244607,53,49.91,-109.46,61.66,8.34
197,el bagre,61,CO,1565244607,98,7.6,-74.8,73.18,1.54
198,batemans bay,22,AU,1565244608,72,-35.71,150.18,63.0,8.99
199,baykit,64,RU,1565244212,22,61.68,96.39,81.1,11.77
200,preobrazheniye,95,RU,1565244608,74,42.9,133.91,74.44,4.76
201,thinadhoo,100,MV,1565243984,78,0.53,72.93,83.62,14.67
202,grand gaube,20,MU,1565244609,64,-20.01,57.66,75.99,9.17
203,sao paulo de olivenca,67,BR,1565244609,71,-3.38,-68.87,73.0,1.79
204,farafangana,0,MG,1565244609,72,-22.82,47.83,68.5,2.55
205,bereda,75,ES,1565244609,83,43.27,-7.54,73.99,6.93
206,adrar,0,DZ,1565244610,13,27.87,-0.29,98.6,5.82
207,yar-sale,100,RU,1565244610,81,66.83,70.83,55.0,13.13
208,victoria,75,BN,1565244610,66,5.28,115.24,87.8,10.29
209,fairbanks,20,US,1565244611,82,64.84,-147.72,62.6,3.36
210,pevek,61,RU,1565244611,96,69.7,170.27,42.22,17.92
211,perth,75,AU,1565244611,72,-31.95,115.86,60.01,3.36
212,pitimbu,20,BR,1565244611,100,-7.47,-34.81,68.0,4.7
213,atyrau,0,KZ,1565244612,33,47.1,51.92,77.0,4.47
214,atar,0,MR,1565244612,44,20.52,-13.05,83.08,5.21
215,grand-lahou,48,CI,1565244612,99,5.24,-5.0,69.4,2.19
216,sur,89,OM,1565244395,28,22.57,59.53,98.92,3.4
217,cap malheureux,20,MU,1565244613,64,-19.98,57.61,75.99,9.17
218,buarcos,90,PT,1565244613,100,40.16,-8.88,71.6,5.82
219,alice springs,0,AU,1565244614,29,-23.7,133.88,66.2,9.17
220,carauari,66,BR,1565244614,66,-4.88,-66.9,74.62,0.4
221,saldanha,79,PT,1565244614,77,41.42,-6.55,63.28,2.59
222,itarare,0,BR,1565244615,93,-24.11,-49.33,64.0,1.01
223,igrim,98,RU,1565244615,92,63.19,64.42,51.04,8.72
224,leningradskiy,38,RU,1565244615,88,69.38,178.42,43.66,5.95
225,ayan,0,IR,1565244616,40,38.23,44.7,71.6,6.93
226,el alto,0,BO,1565244616,86,-16.5,-68.19,28.4,4.7
227,port hedland,0,AU,1565244616,16,-20.31,118.58,78.8,10.29
228,florence,40,US,1565244347,88,34.2,-79.77,80.6,6.93
229,saint-philippe,90,CA,1565244617,100,45.36,-73.48,71.6,3.36
230,avarua,100,CK,1565244463,100,-21.21,-159.78,71.6,2.24
